orderId,drugbankId,name,category,chemicalFormula,smiles,description,relatedDrugs
11,DB00821,Carprofen,Small Molecule,C15H12ClNO2,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,"Carprofen is a non-steroidal anti-inflammatory drug (NSAID) that is used by veterinarians as a supportive treatment for the relief of arthritic symptoms in geriatric dogs. Carprofen was previously used in human medicine for over 10 years (1985-1995). It was generally well tolerated, with the majority of adverse effects being mild, such as gastro-intestinal pain and nausea, similar to those recorded with aspirin and other non-steroidal anti-inflammatory drugs. It is no longer marketed for human usage, after being withdrawn on commercial grounds.","['DrugA', 'DrugB', 'DrugC']"
12,DB08897,Aclidinium,Small Molecule,C26H30NO4S2,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,"Aclidinium is an anticholinergic for the long-term management of chronic obstructive pulmonary disease (COPD). It has a much higher propensity to bind to muscarinic receptors than nicotinic receptors. FDA approved on July 24, 2012.","['DrugA', 'DrugB', 'DrugC']"
13,DB11315,Methscopolamine,Small Molecule,C18H24NO4,C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,Methscopolamine is a quaternary ammonium derivative of scopolamine and antagonist at muscarininc (mACh) receptors. Methscopolamine bromide is the most common form of the active ingredient in oral pharmaceutical products. The oral tablets are used as an adjunct therapy for the treatment of peptic ulcer and is shown to be effective in decreasing the rate of recurrence of peptic ulcers as well as preventing complications.,"['DrugA', 'DrugB', 'DrugC']"
14,DB00424,Hyoscyamine,Small Molecule,C17H23NO3,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1,"Hyoscyamine is a tropane alkaloid and the levo-isomer of atropine.2 It is commonly extracted from plants in the Solanaceae or nightshade family.2 Research into the action of hyoscyamine in published literature dates back to 1826.6 Hyoscyamine is used for a wide variety of treatments and therapeutics due to its antimuscarinic properties.7,8 Although hyoscyamine is marketed in the United States, it is not FDA approved.7,8","['DrugA', 'DrugB', 'DrugC']"
15,DB00670,Pirenzepine,Small Molecule,C19H21N5O2,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1,"An antimuscarinic agent that inhibits gastric secretion at lower doses than are required to affect gastrointestinal motility, salivary, central nervous system, cardiovascular, ocular, and urinary function. It promotes the healing of duodenal ulcers and due to its cytoprotective action is beneficial in the prevention of duodenal ulcer recurrence. It also potentiates the effect of other antiulcer agents such as cimetidine and ranitidine. It is generally well tolerated by patients.","['DrugA', 'DrugB', 'DrugC']"
16,DB06148,Mianserin,Small Molecule,C18H20N2,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,"A tetracyclic compound with antidepressant effects. Mianserin was previously available internationally, however in most markets it has been phased out in favour of mirtazapine.","['DrugA', 'DrugB', 'DrugC']"
17,DB01116,Trimethaphan,Small Molecule,C22H25N2OS,O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,"A nicotinic antagonist that has been used as a ganglionic blocker in hypertension, as an adjunct to anesthesia, and to induce hypotension during surgery.","['DrugA', 'DrugB', 'DrugC']"
18,DB00391,Sulpiride,Small Molecule,C15H23N3O4S,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,"Sulpiride first appeared in published literature in 1967.1 Clinical studies show a greater effect on treating the negative symptoms of schizophrenia rather than positive symptoms at low doses, though the effects are more equal at higher doses.7 Sulpiride is not approved by the FDA, Health Canada, or the EMA; though it is approved in individual European countries.11","['DrugA', 'DrugB', 'DrugC']"
19,DB00517,Anisotropine methylbromide,Small Molecule,C17H32BrNO2,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C,"Anisotropine methylbromide is a quaternary ammonium compound. Its use as treatment adjunct in peptic ulcer has been replaced by the use of more effective agents. Depending on the dose, anisotropine methylbromide may reduce the motility and secretory activity of the gastrointestinal system, and the tone of the ureter and urinary bladder and may have a slight relaxant action on the bile ducts and gallbladder. In general, smaller doses of anisotropine methylbromide inhibit salivary and bronchial secretions, sweating, and accommodation; cause dilatation of the pupil; and increase the heart rate. Larger doses are required to decrease motility of the gastrointestinal and urinary tracts and to inhibit gastric acid secretion.","['DrugA', 'DrugB', 'DrugC']"
20,DB09076,Umeclidinium,Small Molecule,C29H34NO2,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,"Umeclidinium is a long-acting muscarinic antagonist (LAMA) used as a maintenance treatment for symptoms of chronic obstructive pulmonary disease (COPD). COPD is a progressive obstructive lung disease characterized by shortness of breath, cough, sputum production, and chronically poor airflow with a forced expiratory volume in 1 second (FEV1) of less than 80%.3 Maintenance of the airway is controlled by the parasympathetic nervous system, particularly by the abundance of the muscarinic subtype 3 (M3) in the airway smooth muscle.5 Parasympathetic ganglia are associated with the larger airways while postganglionic fibers innervate the smaller diameter bronchioles contributing to airway resistance.5 By blocking the M3 muscarinic receptor, umeclidinium inhibits the binding of acetylcholine and thereby opens up the airways by preventing bronchoconstriction.5 However, even though umeclidinium monotherapy is well-tolerated for up to 14 days, it is more likely to be used in combination therapy, as the international Gold Initiative for Chronic Obstructive Lung Disease (GOLD) guidelines recommended the use of two long-acting bronchodilators with differing mechanisms of action to maximize efficacy and minimize adverse effects.4,2 Umeclidinium was approved by the FDA in April 2014 under the brand name Incruse Ellipta as a standalone product.14 Later, it was further approved as a combination product with vilanterol and vilanterol/fluticasone furoate under the brand name ANORO ELLIPTA and TRELEGY ELLIPTA respectively.9,10. ANORO ELLIPTA was approved in December 2013 while TRELEGY ELLIPTA was approved in September 2017.15,16","['DrugA', 'DrugB', 'DrugC']"
21,DB01090,Pentolinium,Small Molecule,C15H32N2,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,Pentolinium is a nicotinic antagonist that has been used as a ganglionic blocking agent in hypertension.,"['DrugA', 'DrugB', 'DrugC']"
22,DB01071,Mequitazine,Small Molecule,C20H22N2S,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12,"Mequitazine is a histamine H1 antagonist (antihistamine). It competes with histamine for the normal H1-receptor sites on effector cells of the gastrointestinal tract, blood vessels and respiratory tract. It provides effective, temporary relief of sneezing, watery and itchy eyes, and runny nose due to hay fever and other upper respiratory allergies.","['DrugA', 'DrugB', 'DrugC']"
23,DB01168,Procarbazine,Small Molecule,C12H19N3O,CNNCC1=CC=C(C=C1)C(=O)NC(C)C,"An antineoplastic agent used primarily in combination with mechlorethamine, vincristine, and prednisone (the MOPP protocol) in the treatment of Hodgkin's disease.","['DrugA', 'DrugB', 'DrugC']"
24,DB00462,Methscopolamine bromide,Small Molecule,C18H24BrNO4,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1,A muscarinic antagonist used to study binding characteristics of muscarinic cholinergic receptors.,"['DrugA', 'DrugB', 'DrugC']"
25,DB00732,Atracurium besylate,Small Molecule,C65H82N2O18S2,[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2,A non-depolarizing neuromuscular blocking agent with short duration of action. Its lack of significant cardiovascular effects and its lack of dependence on good kidney function for elimination provide clinical advantage over alternate non-depolarizing neuromuscular blocking agents.,"['DrugA', 'DrugB', 'DrugC']"
26,DB01409,Tiotropium,Small Molecule,C19H22NO4S2,[H][C@]12O[C@@]1([H])[C@]1([H])C[C@@]([H])(C[C@@]2([H])[N+]1(C)C)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1,"Tiotropium is a long-acting, antimuscarinic bronchodilator used in the management of chronic obstructive pulmonary disease (COPD) and asthma.1,2,3,4,5 Tiotropium acts mainly on M3 muscarinic receptors located in the airways to produce smooth muscle relaxation and bronchodilation.1,2,3,4,5 Tiotropium is more specific for the subset of muscarinic receptors commonly found in the lungs than ipratropium.1 Tiotropium was granted FDA approval on 30 January 2004.2","['DrugA', 'DrugB', 'DrugC']"
27,DB00810,Biperiden,Small Molecule,C21H29NO,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,"A muscarinic antagonist that has effects in both the central and peripheral nervous systems. It has been used in the treatment of arteriosclerotic, idiopathic, and postencephalitic parkinsonism. It has also been used to alleviate extrapyramidal symptoms induced by phenothiazine derivatives and reserpine.","['DrugA', 'DrugB', 'DrugC']"
28,DB00986,Glycopyrronium,Small Molecule,C19H28NO3,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,"Glycopyrronium, also known as NVA237 or glycopyrrolate, is a racemic mixture of two enantiomers.15 They are both quaternary ammonium compounds and long acting muscarinic antagonists.15 It is one of the most commonly prescribed anticholinergic medications.2,3 Early research into glycopyrronium use was for its indication as an adjunct therapy in the treatment of peptic ulcers.9,10 Later research, taking advantage of the systemic distribution of muscarinic receptors through the body, found that glycopyrronium could also be used for reducing sweat gland,12 oral,18 airway, and gastric secretions;17 as well as reducing cardiac inhibitory reflexes;17 and reducing bronchoconstriction in COPD.13 Glycopyrronium is commonly prescribed as a first line treatment for a wide variety indications and is considered to have a wider therapeutic window than tiotropium.8 Glycopyrronium was originally granted FDA approval on 11 August 1961.10","['DrugA', 'DrugB', 'DrugC']"
29,DB00332,Ipratropium,Small Molecule,C20H30NO3,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,"Ipratropium is a quaternary ammonium derivative of atropine4 that acts as an anticholinergic agent.1 It is commonly administered through inhalation which allows producing a local effect without presenting a significant systemic absorption.4 Ipratropium as a therapeutic agent was developed by Boehringer Ingelheim and its first monotherapy product was FDA approved in 1986, while the combination product of ipratropium and albuterol was approved in 1996.12,11","['DrugA', 'DrugB', 'DrugC']"
30,DB00434,Cyproheptadine,Small Molecule,C21H21N,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,"Cyproheptadine is a potent competitive antagonist of both serotonin and histamine receptors.8 It is used primarily to treat allergic symptoms, though it is perhaps more notable for its use in appetite stimulation11 and its off-label use in the treatment of serotonin syndrome.2","['DrugA', 'DrugB', 'DrugC']"
31,DB00805,Minaprine,Small Molecule,C17H22N4O,CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1,"Minaprine is a psychotropic drug which has proved to be effective in the treatment of various depressive states. Like most antidepressants minaprine antagonizes behavioral despair. Minaprine is an amino-phenylpyridazine antidepressant reported to be relatively free of cardiotoxicity, drowsiness, and weight gain.","['DrugA', 'DrugB', 'DrugC']"
32,DB00496,Darifenacin,Small Molecule,C28H30N2O2,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,"Darifenacin (Enablex®, Novartis) is a medication used to treat urinary incontinence. Darifenacin blocks M3 muscarinic acetylcholine receptors, which mediate bladder muscle contractions. This block reduces the urgency to urinate and so it should not be used in people with urinary retention. It is unknown if M3 receptor selectivity is clinically advantageous in overactive bladder syndrome treatments.","['DrugA', 'DrugB', 'DrugC']"
33,DB06153,Pizotifen,Small Molecule,C19H21NS,CN1CCC(CC1)=C1C2=C(CCC3=CC=CC=C13)SC=C2,"Pizotifen belongs to the class of antamines and is related to cyproheptadine.1 It is a potent serotonin and tryptamine antagonist that has been used for migraine prevention for many years. It exhibits weak anticholinergic, antihistamine, and antikinin actions in addition to sedative and appetite-stimulating properties 10. Some patients receiving pizotifen treatment developed tolerance with the prolonged use of the drug 10. Numerous studies have revealed the potential antidepressant effects of pizotifen, which are independent of its antimigraine action 5. While it is suggested that pizotifen may act similarly to the classic tricyclic antidepressants 5, its full mechanism of antidepressant action is not fully elucidated. Pizotifen hydrochloride is an active ingredient in Sandomigran, which is used for the prophylactic management of migraines. Sandomigran is available in a number of countries but is not approved by the FDA nor EMA.","['DrugA', 'DrugB', 'DrugC']"
34,DB00182,Amphetamine,Small Molecule,C9H13N,CC(N)CC1=CC=CC=C1,"Amphetamine, a compound discovered over 100 years ago, is one of the more restricted controlled drugs. It was previously used for a large variety of conditions and this changed until this point where its use is highly restricted. Amphetamine, with the chemical formula alpha-methylphenethylamine, was discovered in 1910 and first synthesized by 1927. After being proven to reduce drug-induced anesthesia and produce arousal and insomnia, amphetamine racemic mix was registered by Smith, Kline and French in 1935. Amphetamine structure presents one chiral center and it exists in the form of dextro- and levo-isomers.1 The first product of Smith, Kline and French was approved by the FDA on 1976.12 During World War II, amphetamine was used to promote wakefulness in the soldiers. This use derived into a large overproduction of amphetamine and all the surplus after the war finalized ended up in the black market, producing the initiation of the illicit abuse.1","['DrugA', 'DrugB', 'DrugC']"
35,DB06702,Fesoterodine,Small Molecule,C26H37NO3,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C,Fesoterodine is an antimuscarinic prodrug for the treatment of overactive bladder syndrome.,"['DrugA', 'DrugB', 'DrugC']"
36,DB00967,Desloratadine,Small Molecule,C19H19ClN2,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,"Desloratadine is a second generation, tricyclic antihistamine that which has a selective and peripheral H1-antagonist action. It is the active descarboethoxy metabolite of loratidine (a second generation histamine). Desloratidine has a long-lasting effect and does not cause drowsiness because it does not readily enter the central nervous system.","['DrugA', 'DrugB', 'DrugC']"
37,DB00219,Oxyphenonium,Small Molecule,C21H34NO3,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,"A quaternary ammonium anticholinergic agent with peripheral side effects similar to those of atropine. It is used as an adjunct in the treatment of gastric and duodenal ulcer, and to relieve visceral spasms. The drug has also been used in the form of eye drops for mydriatic effect. [PubChem]","['DrugA', 'DrugB', 'DrugC']"
38,DB00366,Doxylamine,Small Molecule,C17H22N2O,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,"Histamine H1 antagonist with pronounced sedative properties. It is used in allergies and as an antitussive, antiemetic, and hypnotic. Doxylamine has also been administered in veterinary applications and was formerly used in parkinsonism.","['DrugA', 'DrugB', 'DrugC']"
39,DB01037,Selegiline,Small Molecule,C13H17N,C[C@H](CC1=CC=CC=C1)N(C)CC#C,"A selective, irreversible inhibitor of Type B monoamine oxidase. It is used in newly diagnosed patients with Parkinson's disease. It may slow progression of the clinical disease and delay the requirement for levodopa therapy. It also may be given with levodopa upon onset of disability. (From AMA Drug Evaluations Annual, 1994, p385) The compound without isomeric designation is Deprenyl.","['DrugA', 'DrugB', 'DrugC']"
40,DB01339,Vecuronium,Small Molecule,C34H57N2O4,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,"Monoquaternary homolog of pancuronium. A non-depolarizing neuromuscular blocking agent with shorter duration of action than pancuronium. Its lack of significant cardiovascular effects and lack of dependence on good kidney function for elimination as well as its short duration of action and easy reversibility provide advantages over, or alternatives to, other established neuromuscular blocking agents.","['DrugA', 'DrugB', 'DrugC']"
41,DB00283,Clemastine,Small Molecule,C21H26ClNO,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,"An ethanolamine-derivative, first generation histamine H1 antagonist used in hay fever, rhinitis, allergic skin conditions, and pruritus. It causes drowsiness.","['DrugA', 'DrugB', 'DrugC']"
42,DB01247,Isocarboxazid,Small Molecule,C12H13N3O2,CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1,"Isocarboxazid has the formula 1-benzyl-2-(5-methyl-3-isoxazolylcarbonyl)hydrazine-isocarboxazid. It is a monoamine oxidase inhibitor.2 It is used in the treatment of major depression, dysthymic disorder, atypical disorder, panic disorder and the phobic disorders.4 It was first introduced by Roche pharmaceuticals, further developed by Validus pharms Inc and first FDA approved as a prescription drug on July 1st, 1959.","['DrugA', 'DrugB', 'DrugC']"
43,DB00387,Procyclidine,Small Molecule,C19H29NO,OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,A muscarinic antagonist that crosses the blood-brain barrier and is used in the treatment of drug-induced extrapyramidal disorders and in parkinsonism.,"['DrugA', 'DrugB', 'DrugC']"
44,DB01036,Tolterodine,Small Molecule,C22H31NO,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,Tolterodine is an antimuscarinic drug that is used to treat urinary incontinence. Tolterodine acts on M2 and M3 subtypes of muscarinic receptors.,"['DrugA', 'DrugB', 'DrugC']"
45,DB00657,Mecamylamine,Small Molecule,C11H21N,CNC1(C)C2CCC(C2)C1(C)C,"A nicotinic antagonist that is well absorbed from the gastrointestinal tract and crosses the blood-brain barrier. Mecamylamine has been used as a ganglionic blocker in treating hypertension, but, like most ganglionic blockers, is more often used now as a research tool.","['DrugA', 'DrugB', 'DrugC']"
46,DB01591,Solifenacin,Small Molecule,C23H26N2O2,O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1,"Solifenacin is a competitive muscarinic receptor antagonist indicated to treat an overactive bladder with urinary incontinence, urgency, and frequency.3 It has a long duration of action as it is usually taken once daily.3 Solifenacin was granted FDA approval on 19 November 2004.3","['DrugA', 'DrugB', 'DrugC']"
47,DB00572,Atropine,Small Molecule,C17H23NO3,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,"Atropine is an alkaloid originally synthesized from Atropa belladonna. It is a racemic mixture of d-and l-hyoscyamine, of which only l-hyoscyamine is pharmacologically active.3,8 Atropine is generally available as a sulfate salt and can be administered by intravenous, subcutaneous, intramuscular, intraosseous, endotracheal and ophthalmic methods. Oral atropine is only available in combination products.1,9 Atropine is a competitive, reversible antagonist of muscarinic receptors that blocks the effects of acetylcholine and other choline esters.1,5,6,8 It has a variety of therapeutic applications, including pupil dilation and the treatment of anticholinergic poisoning and symptomatic bradycardia in the absence of reversible causes.1 Atropine is a relatively inexpensive drug and is included in the World Health Organization List of Essential Medicines.4","['DrugA', 'DrugB', 'DrugC']"
48,DB00940,Methantheline,Small Molecule,C21H26NO3,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12,"Methantheline is a synthetic antispasmodic. Antispasmodics are used to relieve cramps or spasms of the stomach, intestines, and bladder. Methantheline is used to treat intestine or stomach ulcers (peptic ulcer disease), intestine problems (irritable bowel syndrome), pancreatitis, gastritis, biliary dyskinesia, pylorosplasm, or urinary problems (reflex neurogenic bladder in children).","['DrugA', 'DrugB', 'DrugC']"
49,DB09300,Butylscopolamine,Small Molecule,C21H30NO4,CCCC[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,"Butylscopolamine is a peripherally acting antimuscarinic, anticholinergic agent. It is used to treat pain and discomfort caused by abdominal cramps, menstrual cramps, or other spasmodic activity in the digestive system. It is also effective at preventing bladder spasms. It is not a pain medication in the normal sense, since it does not directly affect pain, but rather works to prevent painful cramps and spasms from occurring. It is on the WHO Model List of Essential Medicines, the most important medications needed in a basic health system.","['DrugA', 'DrugB', 'DrugC']"
50,DB00782,Propantheline,Small Molecule,C23H30NO3,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,"A muscarinic antagonist used as an antispasmodic, in rhinitis, in urinary incontinence, and in the treatment of ulcers. At high doses it has nicotinic effects resulting in neuromuscular blocking.","['DrugA', 'DrugB', 'DrugC']"
51,DB00747,Scopolamine,Small Molecule,C17H21NO4,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,"Scopolamine is a tropane alkaloid isolated from members of the Solanaceae family of plants, similar to atropine and hyoscyamine, all of which structurally mimic the natural neurotransmitter acetylcholine.4,6 Scopolamine was first synthesized in 1959, but to date, synthesis remains less efficient than extracting scopolamine from plants.6 As an acetylcholine analogue, scopolamine can antagonize muscarinic acetylcholine receptors (mAChRs) in the central nervous system and throughout the body, inducing several therapeutic and adverse effects related to alteration of parasympathetic nervous system and cholinergic signalling.5,9 Due to its dose-dependent adverse effects, scopolamine was the first drug to be offered commercially as a transdermal delivery system, Scopoderm TTS®, in 1981.4,5 As a result of its anticholinergic effects, scopolamine is being investigated for diverse therapeutic applications; currently, it is approved for the prevention of nausea and vomiting associated with motion sickness and surgical procedures.7,9 Scopolamine was first approved by the FDA on December 31, 1979, and is currently available as both oral tablets and a transdermal delivery system.9","['DrugA', 'DrugB', 'DrugC']"
52,DB09244,Pirlindole,Small Molecule,C15H18N2,CC1=CC=C2N3CCNC4CCCC(=C34)C2=C1,"This drug is classified as a reversible inhibitor of monoamine oxidase A enzyme (also known as a RIMA drug). It was developed and is currently used as an antidepressant in Russia. Its chemical structure is similar to metralindole, and it also shares pharmacological properties with this drug. Pirlindole is a selective, reversible inhibitor of monoamine oxidase (MAO) subtype A (MAO-A) that is approved in several European and non-European countries for the treatment of major depression. The antidepressant efficacy and safety of pirlindole have been demonstrated in numerous studies and, supported by many years of clinical experience in the treatment of depression. Pirlindole's efficacy and safety have also been shown in the treatment of fibromyalgia.","['DrugA', 'DrugB', 'DrugC']"
53,DB00780,Phenelzine,Small Molecule,C8H12N2,NNCCC1=CC=CC=C1,"Phenelzine, with the formula β-phenylethylhydrazine, is a monoamine oxidase inhibiting antidepressant that is effective in the treatment of panic disorder and social anxiety disorder.3 It was developed by Parke Davis and originally FDA approved on June 9th, 1961. It is currently approved under prescription by the name of Nardil.","['DrugA', 'DrugB', 'DrugC']"
