id,order_id,drugbank_id,name,category,chemical_formula,smiles,description,related_drugs,pharmacodynamics,action_mechanism,protein_binding,metabolism
41,41,DB00041,Aldesleukin,"Adjuvants, Immunologic, Amino Acids, Peptides, and Proteins, Anti-HIV Agents",C690H1115N177O202S6,,"Aldesleukin, a lymphokine, is produced by recombinant DNA technology using a genetically engineered E. coli strain containing an analog of the human interleukin-2 gene. Genetic engineering techniques were used to modify the human IL-2 gene, and the resulting expression clone encodes a modified human interleukin-2. This recombinant form differs from native interleukin-2 in the following ways: a) Aldesleukin is not glycosylated because it is derived from E. coli; b) the molecule has no N-terminal alanine; the codon for this amino acid was deleted during the genetic engineering procedure; c) the molecule has serine substituted for cysteine at amino acid position 125.","Denosumab, Etanercept, Interferon alfa-n1, Anakinra, Interferon gamma-1b, Adalimumab","Used to treat renal cell carcinoma, Aldesleukin induces the enhancement of lymphocyte mitogenesis and stimulation of long-term growth of human interleukin-2 dependent cell lines, the enhancement of lymphocyte cytotoxicity, the induction of killer cell (lymphokine-activated (LAK) and natural (NK)) activity; and the induction of interferon-gamma production. IL-2 is normally produced by the body, secreted by T cells, and stimulates growth and differentiation of T cell response. It can be used in immunotherapy to treat cancer. It enhances the ability of the immune system to kill tumor cells and may interfere with blood flow to the tumor.","Aldesleukin binds to the IL-2 receptor which leads to heterodimerization of the cytoplasmic domains of the IL-2R beta and gamma(c) chains, activation of the tyrosine kinase Jak3, and phosphorylation of tyrosine residues on the IL-2R beta chain. These events led to the creation of an activated receptor complex, to which various cytoplasmic signaling molecules are recruited and become substrates for regulatory enzymes (especially tyrosine kinases) that are associated with the receptor. These events stimulate growth and differentiation of T cells.",,
42,42,DB00042,Botulinum toxin type B,"Acetylcholine Release Inhibitors, Agents that produce neuromuscular block (indirect), Amino Acids, Peptides, and Proteins",,,Neurotoxin produced by fermentation of clostridium botulinum type B. The protein exists in noncovalent association with hemagglutinin and nonhemagglutinin proteins as a neurotoxin complex. The neurotoxin complex is recovered from the fermentation process and purified through a series of precipitation and chromatography steps.,"Buprenorphine, Doxylamine, Dronabinol, Droperidol, Hydrocodone, Hydroxyzine","Botulinum Toxin Type B inhibits acetylcholine release at the neuromuscular junction via a three stage process: 1) Heavy Chain mediated neurospecific binding of the toxin, 2) internalization of the toxin by receptor-mediated endocytosis, and 3) ATP and pH dependent translocation of the Light Chain to the neuronal cytosol where it acts as a zinc-dependent endoprotease cleaving polypeptides essential for neurotransmitter release.","Botulinum Toxin Type B binds to and cleaves the synaptic Vesicle Associated Membrane Protein (VAMP, also known as synaptobrevin) which is a component of the protein complex responsible for docking and fusion of the synaptic vesicle to the presynaptic membrane, a necessary step to neurotransmitter release.",,
43,43,DB00043,Omalizumab,"Agents to Treat Airway Disease, Amino Acids, Peptides, and Proteins, Anti-Allergic Agents",C6450H9916N1714O2023S38,,"Omalizumab, manufactured by _Genentech_, was first FDA approved in 2003 to treat adults and children 12 years of age and older with moderate to severe persistent allergic asthma which is not controlled by inhaled steroids [L4670]. Since its U.S. approval, more than 200,000 patients older than 12 with allergic asthma have been treated [L4670].  In September 2018, a new prefilled syringe formulation of this drug was approved by the FDA [L4671].","Loxapine, Diethylstilbestrol, Chlorotrianisene, Conjugated estrogens, Estrone, Estradiol","Omalizumab is a recombinant, humanized, monoclonal antibody against human immunoglobulin E (IgE) which treats the symptoms of asthma and chronic idiopathic urticaria by limiting the allergic response [FDA label], [A39520].  It inhibits the binding of IgE to receptors on mast cells and basophils, blocking the IgE-mediated secretion of inflammatory mediators from these cells [A39518].    Mast cell activation and the release of mediators, in response to allergen exposure and IgE, results in a cascade of events. This cascade culminates in the activation of B-lymphocytes, T-lymphocytes, eosinophils, fibroblasts, smooth muscle cells, and the endothelium. This cellular interaction, as well as the release of cytokines, chemokines and growth factors and inflammatory remodeling of the airway results in chronic asthma [A39519].    After 4 weeks of use of this medication in patients with chronic urticaria, it was found that rescue medication use was reduced significantly and quality of life improved [A39521].","When an environmental allergen first enters the body, is taken up by antigen-presenting cells (APCs). It is then processed, and presented to T and B immune cells. This is followed by the activation of B-lymphocyte and production of allergen-specific IgE. This IgE is then released by plasma cells (converted B lymphocytes) and is therefore available to bind to IgE receptors on several other cells [A39520].    IgE binds to high-affinity (Fc€RI) and low-affinity (Fc€RII) receptors on multiple cells of the immune system. Following subsequent antigen exposure, cross-linking of the antigen occurs by several Fc€RI-bound IgE molecules on the surface of both basophils and mast cells. This leads to the activation of mast cells and histamine release, producing a wheal and other symptoms of urticaria [A39520].    The following are explanations of the mechanism of action for both indications of this drug:    **Asthma**    Omalizumab inhibits the binding of IgE to the high-affinity IgE receptor (FcεRI) on the surface of both mast cells and basophils. The reduction in surface-bound IgE on FcεRI-bearing cells limits the degree of release of mediators of the typical allergic response. Treatment with omalizumab also reduces the number of FcεRI receptors on basophils in atopic patients [FDA label].    Omalizumab binds to free IgE with a higher affinity than IgE itself binds to the high-affinity Fc€RI receptors found on basophils. Therefore, it decreases the availability of free IgE for binding [A39520]. Omalizumab by itself does not bind to the Fc€RI receptors, nor does the drug bind to receptor-bound IgE. These binding characteristics allow omalizumab to neutralize the typical IgE-mediated responses without causing the degranulation of basophils or cross-linking with basophil-bound IgE [A39520].    **Chronic Idiopathic Urticaria**  Omalizumab binds to IgE and decreases free IgE levels. Subsequently, IgE receptors (FcεRI) on cells are down-regulated. The mechanism by which these effects of omalizumab result in an improvement of CIU symptoms is unclear[FDA label].",Monoclonal antibodies are usually not required to have protein binding studies.,"Monoclonal antibodies, in general, are believed to be internalized in endothelial cells bound to the Fc receptor and rescued from metabolism by recycling. At a later time, they are degraded in the reticuloendothelial system to smaller peptides and amino acids, which can then be used for de-novo protein synthesis [A31470]. Several factors may influence this process, however. These include factors related to the target antigen, antibody, and patient [A31470].    The metabolism of omalizumab is determined by its IgG1 framework, and by its specific binding to IgE. The elimination of omalizumab is dose-dependent. The reticuloendothelial system and the liver are two sites of elimination for IgG (including degradation in the liver reticuloendothelial system and endothelial cells) [F1946], [A31470].  The omalizumab:IgE complexes are thought to be to cleared via interactions with Fc- gamma-Rs (Fc gamma RI, Fc gamma RII, and Fc gamma RIII) at rates that are more rapid than that of IgG clearance. The relative clearance of free omalizumab, free IgE, and complexes is summarized as: free IgE clearance > > omalizumab:IgE clearance > omalizumab clearance [F1946]."
44,44,DB00044,Lutropin alfa,"Genito Urinary System and Sex Hormones, Gonadotropins, Gonadotropins and Antigonadotropins",C1014H1609N287O294S27,,"Lutropin alfa is a recombinant human luteinizing hormone produced in yeast with 2 subunits, alpha = 92 residues, beta = 121 residues. It is a heterodimeric glycoprotein made up of monomeric units. Lutropin alfa was the first and only recombinant human form of luteinizing hormone (LH) developed for use in the stimulation of follicular development. Its pharmacological action mimics the biological activity of endogenous LH; an acute rise of LH, or LH surge, in females triggers ovulation and the development of the corpous luteum. In males, LH stimulates Leydig cell to produce testosterone.",,"Used to facilitate female conception, lutropin alfa performs the same actions as luteinizing hormone (LH), which is normally produced in the pituitary gland. Lutropin is usually given in combination with follitropin alfa. Together they stimulate the development of a follicle to prepare the reproductive tract for implementation and pregnancy. Lutropin alfa also stimulates the theca cells to produce androgens and the secretion of estradiol by the follicles. Lutropin alfa and follitropin alfa are discontinued once ultrasound assessment and serum estradiol concentrations show sufficient follicular maturation. hCG is then administered to complete follicular maturation and induce ovulation. In females, a LH surge about halfway through the menstrual cycle triggers the onset of ovulation. Lutropin alfa substitutes for endogenous LH and induces rupture of the preovulatory ovarian follicle and oocyte expulsion. Lutropin alfa induces and maintains the corpus luteum, which then secretes progesterone.",Luteinizing hormone binds to a receptor shared with the human chorionic gonadotropin hormone (hCG) on the ovarian theca (and granulosa) cells and testicular Leydig cells. This LH/CG transmembrane receptor is a member of the super-family of G protein-coupled receptors. Adenylate cyclase then activates many other pathways leading to steroid hormone production and other follicle maturation processes.,,<5% of dose excreted renally as unchanged drug.
45,45,DB00045,Lyme disease vaccine (recombinant OspA),"component, function, process",C1198H2012N322O422S2,,"Vaccine against Lyme disease that contains lipoprotein OspA, an outer surface protein of Borrelia burgdorferi sensu stricto ZS7, as expressed by Escherichia coli. Lipoprotein OspA is a single polypeptide chain of 257 amino acids with lipids covalently bonded to the N terminus. It is conjugated with alum (aluminum hydroxide) as an adjuvant.",,OspA lipoprotein is a single polypeptide chain of 270 amino acids. It is a vaccination used to prevent Lyme Disease.,"OspA lipoprotein, an outer surface protein of the bacteria Borrelia burgdorferi sensu stricto ZS7, is used to stimulate the production of specific antibodies against B. burgdorferi. It is used as a vaccination against Lyme Disease, a disease carried by ticks.",,
46,46,DB00046,Insulin lispro,"Alimentary Tract and Metabolism, Amino Acids, Peptides, and Proteins, Blood Glucose Lowering Agents",C257H387N65O76S6,,"Insulin lispro is a rapid-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis among many other functions.    Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin, such as insulin lispro, to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually cause cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after several oral medications such as [DB00331], [DB01120], or [DB01261] have been tried, and when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own.     Marketed as the brand name product Humalog, insulin lispro begins to exert its effects within 15 minutes of subcutaneous administration, while peak levels occur 30 to 90 minutes after administration. Due to its duration of action of around 5 hours, Humalog is considered ""bolus insulin"" as it provides high levels of insulin in a short period of time to mimic the release of endogenous insulin from the pancreas after meals. Bolus insulin is often combined with once daily, long-acting ""basal insulin"" such as [DB01307], [DB09564], or [DB00047] to provide low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia.    Insulin lispro is produced by recombinant DNA technology utilizing a non-pathogenic laboratory strain of Escherichia coli and was the first commercially available insulin analog. Formerly called LYSPRO from the chemical nomenclature [LYS(B28), PRO(B29)], insulin lispro differs from human insulin in that the amino acid proline at position B28 is replaced by lysine and the lysine in position B29 is replaced by proline. These biochemical changes result in a reduced tendency for self-association resulting in dissolution to a dimer and then to a monomer that is absorbed more rapidly after subcutaneous injection compared to endogenous human insulin.     Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.","Liraglutide, Metreleptin, Pegvisomant, Pioglitazone, Pramlintide, Rosiglitazone","Insulin is a natural hormone produced by beta cells of the pancreas. In non-diabetic individuals, a basal level of insulin is supplemented with insulin spikes following meals. Increased insulin secretion following meals is responsible for the metabolic changes that occur as the body transitions from a postabsorptive to absorptive state. Insulin promotes cellular uptake of glucose, particularly in muscle and adipose tissues, promotes energy storage via glycogenesis, opposes catabolism of energy stores, increases DNA replication and protein synthesis by stimulating amino acid uptake by liver, muscle and adipose tissue, and modifies the activity of numerous enzymes involved in glycogen synthesis and glycolysis. Insulin also promotes growth and is required for the actions of growth hormone (e.g. protein synthesis, cell division, DNA synthesis). Insulin lispro is a rapid-acting insulin analogue used to mimic postprandial insulin spikes in diabetic individuals. The onset of action of insulin lispro is 10-15 minutes. Its activity peaks 60 minutes following subcutaneous injection and its duration of action is 4-5 hours. Compared to regular human insulin, insulin lispro  has a more rapid onset of action and a shorter duration of action. Insulin lispro is also shown to be equipotent to human insulin on a molar basis.      Insulin lispro has been shown to be equipotent to human insulin on a molar basis. One unit of insulin lispro has the same glucose-lowering effect as one unit of regular human insulin. Studies in normal volunteers and patients with diabetes demonstrated that insulin lispro has a more rapid onset of action and a shorter duration of activity than regular human insulin when given subcutaneously.[L47616]    The pharmacodynamics of a single 20 unit dose of insulin lispro at 200 units/mL (HUMALOG U-200) administered subcutaneously were compared to the pharmacodynamics of a single 20 unit dose of insulin lispro at 100 units/mL (HUMALOG U-100) administered subcutaneously in a euglycemic clamp study enrolling healthy subjects. In this study, the overall, maximum, and time to maximum glucose lowering effect were similar between HUMALOG U-200 and HUMALOG U-100. The mean area under the glucose infusion rate curves (measure of overall pharmacodynamic effect) were 125 g and 126 g for HUMALOG U-200 and HUMALOG U-100, respectively. The maximum glucose infusion rate was 534 mg/min and 559 mg/min and the corresponding median time (min, max) to maximum effect were 2.8 h (0.5 h – 6.3 h) and 2.4 h (0.5 h – 4.7 h) for HUMALOG U-200 and HUMALOG U-100, respectively.[L47616]","Insulin lispro binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor autophosphorylates and phosphorylates numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. Activation of these proteins leads to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC), both of which play critical roles in metabolism and catabolism. In humans, insulin is stored in the form of hexamers; however, only insulin monomers are able to interact with IR. Reversal of the proline and lysine residues at positions B28 and B29 of native insulin eliminates hydrophobic interactions and weakens some of the hydrogen bonds that contribute to the stability of the insulin dimers that comprise insulin hexamers. Hexamers of insulin lispro are produced in the presence of zinc and <i>m</i>-cresol. These weakly associated hexamers quickly dissociate upon subcutaneous injection and are absorbed as monomers through vascular endothelial cells. These properties give insulin lispro its fast-acting properties.",,"Human metabolism studies have not been conducted. However, animal studies indicate that the metabolism of insulin lispro is identical to that of regular human insulin.[L47616]"
47,47,DB00047,Insulin glargine,"Alimentary Tract and Metabolism, Amino Acids, Peptides, and Proteins, Antimetabolites",C267H404N72O78S6,,"Insulin glargine is a long-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is typically prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis.    Insulin is an important treatment in the management of Type 1 Diabetes (T1D), which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin, such as insulin glargine, to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually causes cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after several oral medications such as [DB00331], [DB01120], or [DB01261] have been tried, when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own.     Available as the brand name product Lantus, insulin glargine has a duration of action up to 24 hours allowing for once-daily dosing, typically at bedtime. Due to its duration of action, Lantus is considered ""basal insulin"" as it provides low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Basal insulin is often combined with short-acting ""bolus insulin"" such as [DB00046], [DB01309], and [DB01306] to provide higher doses of insulin that are required following meals. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia.     Insulin glargine is also available as the biosimilar, or ""follow-on"" product, Basaglar in the US and as Abasaglar in the EU. As of 2015, insulin glargine was reformulated by Sanofi as the product Toujeo in an extra-concentrated form containing 300IU/mL (compared to 100IU/mL contained in Lantus). Use of the higher concentrated Toujeo as compared to Lantus results in slightly different pharmacokinetics, with a later onset (up to 6 hours) and duration of action (up to 30 hours). In 2021, another biosimilar, Semglee (insulin glargine-yfgn),[L34959] became the first interchangeable (with Lantus) biosimilar insulin to receive FDA approval.[L34964]    Insulin glargine is produced by recombinant DNA technology using a non-pathogenic laboratory strain of Escherichia coli (K12) as the production organism. Insulin glargine differs from endogenous human insulin by the replacement of an asparagine residue at position A21 of the A-chain with glycine and addition of two arginines to the C-terminus (positions B31 and 32) of the B-chain. The resulting protein is soluble at pH 4 and forms microprecipitates at physiological pH 7.4 allowing for the slow release of small amounts of insulin glargine, giving the drug a long duration of action and no pronounced peak concentration.    Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.","Liraglutide, Metreleptin, Pegvisomant, Pioglitazone, Pramlintide, Rosiglitazone","Insulin is a natural hormone produced by beta cells of the pancreas. In non-diabetic individuals, the pancreas produces a continuous supply of low levels of basal insulin along with spikes of insulin following meals. Increased insulin secretion following meals is responsible for the metabolic changes that occur as the body transitions from a postabsorptive to absorptive state. Insulin promotes cellular uptake of glucose, particularly in muscle and adipose tissues, promotes energy storage via glycogenesis, opposes catabolism of energy stores, increases DNA replication and protein synthesis by stimulating amino acid uptake by liver, muscle and adipose tissue, and modifies the activity of numerous enzymes involved in glycogen synthesis and glycolysis. Insulin also promotes growth and is required for the actions of growth hormone (e.g. protein synthesis, cell division, DNA synthesis). Insulin glargine is a long-acting insulin analogue with a flat and predictable action profile. It is used to mimic the basal levels of insulin in diabetic individuals.","Insulin glargine binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor autophosphorylates and phosphorylates numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. Activation of these proteins leads to the activation of downstream signalling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC), both of which play critical roles in metabolism. Insulin glargine is completely soluble at pH 4, the pH of administered solution, and has low solubility at physiological pH 7.4. Upon subcuteous injection, the solution is neutralized resulting in the formation of microprecipitates. Small amounts of insulin glargine are released from microprecipitates giving the drug a relatively constant concentration over time profile over 24 hours with no pronounced peak. This release mechanism allows the drug to mimic basal insulin levels within the body.",,"Insulin glargine is metabolized in the liver into two active metabolites with similar activity to insulin: 21a-Gly-human insulin (M1) and 21a-Gly-des-30b- threonine insulin (M2), with M1 being the predominant metabolite."
48,48,DB00048,Collagenase clostridium histolyticum,"Collagen-specific Enzyme, Collagenases, Dermatologicals",C5028H7666N1300O1564S21,,"Collagenase clostridium histolyticum is an enzyme produced by the bacterium Clostridium histolyticum. It is beneficial in the breakdown of collagen plaques for the treatment of Dupuytren's contracture and Peyronie's disease.[L14882] The topical formulation is used for the debridement of necrotic tissue due to burns or chronic ulcers.[L14912]    On July 6, 2020 a combination of injectable bacterial collagenases was approved by the FDA for the treatment of cellulite in adult women.[L14872] Also known as Qwo, this injection is the first approved injectable treatment for cellulite and was developed by Endo International.[L14892]","Bivalirudin, Abciximab, Dicoumarol, Argatroban, Ardeparin, Phenindione","Collagenase digests collagen, treating conditions such as Peyronie's disease, cellulite, chronic ulcers, burns, and contractures.[L14872,L14882,L14912]","Peyronie's disease is a fibrous lesion of the tunica albuginea in the penile tissues.[A215067] Cellulite is a multifactorial condition resulting in the accumulation of fibrotic dermal septae and the expansion of subcutaneous fat.[A215062] Dupuytren's contracture is a fibroproliferative disease that results in the fibrous deposition of collagen in the hands, limiting mobility and functionality of the hands.[A215072] The collagen deposition in the abovementioned conditions is the target of collagenase enzyme therapy.[A215157,A215167]    These enzymes are proteinases acting to hydrolyze collagen's triple-helical conformation, resulting in the lysis of collagen deposits and relief from the necrotic tissue and plaques associated with several conditions.[L14882,L14912] On a molecular level, collagenases cleave polypeptide chains that make up the collagen triple helix structure at various loci, leading to solubilization from the collagen fibril.[A215197]",There is no readily available information regarding the protein binding of collagenase.[L14912],No formal systemic metabolism studies have been performed with collagenase histolyticum.[A215277]
49,49,DB00049,Rasburicase,"Antigout Preparations, Detoxifying Agents for Antineoplastic Treatment, Enzymes",C1521H2381N417O461S7,,Rasburicase is a recombinant urate-oxidase enzyme produced by a genetically modified <i>Saccharomyces cerevisiae</i> strain. The cDNA coding for rasburicase was cloned from a strain of _Aspergillus flavus_.,"Prilocaine, Dapsone, Aminosalicylic acid, Butalbital, Phenytoin, Lidocaine","Drugs used to treat lympohoid leukemia, non-Hodgkin's lymphoma and acute myelogenous leukemia often lead to the accumulation of toxic plasma levels of purine metabolites (i.e. uric acid). The injection of rasburicase reduces levels of uric acid and mitigates the toxic effects of chemotherapy induced tumor lysis.",Rasburicase catalyzes enzymatic oxidation of uric acid into an inactive and soluble metabolite (allantoin).,,
50,50,DB00050,Cetrorelix,"Amino Acids, Peptides, and Proteins, Anti-Gonadotropin-Releasing Hormones, Decreased GnRH Secretion",,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,"Cetrorelix is a man-made hormone that blocks the effects of Gonadotropin Releasing Hormone (GnRH). GnRH controls another hormone that is called luteinizing hormone (LH), which is the hormone that starts ovulation during the menstrual cycle. When undergoing hormone treatment sometimes premature ovulation can occur, leading to eggs that are not ready for fertilization to be released. Cetrorelix does not allow the premature release of these eggs to occur.",,"Cetrorelix is a synthetic decapeptide with gonadotropin-releasing hormone (GnRH) antagonistic activity. GnRH induces the production and release of luteinizing hormone (LH) and follicle stimulating hormone (FSH) from the gonadotrophic cells of the anterior pituitary. Due to a positive estradiol (E2) feedback at midcycle, GnRH liberation is enhanced resulting in an LH-surge. This LH-surge induces the ovulation of the dominant follicle, resumption of oocyte meiosis and subsequently luteinization as indicated by rising progesterone levels. Cetrorelix competes with natural GnRH for binding to membrane receptors on pituitary cells and thus controls the release of LH and FSH in a dose-dependent manner.",Cetrorelix binds to the gonadotropin releasing hormone receptor and acts as a potent inhibitor of gonadotropin secretion. It competes with natural GnRH for binding to membrane receptors on pituitary cells and thus controls the release of LH and FSH in a dose-dependent manner.,86%,"In in vitro studies, cetrorelix was stable against phase I- and phase II-metabolism. Cetrorelix was transformed by peptidases, and the (1-4) peptide was the predominant metabolite."
51,51,DB00051,Adalimumab,"Agents reducing cytokine levels, Amino Acids, Peptides, and Proteins, Anti-Inflammatory Agents",C6428H9912N1694O1987S46,,"Adalimumab is a subcutaneously administered biological disease modifier for the treatment of rheumatoid arthritis and other chronic debilitating diseases mediated by tumor necrosis factor.[A39984,A39999] It was originally launched by Abbvie in the U.S. and approved in 2002 by the FDA.[A39983] This drug is frequently known as _Humira_. It is produced by recombinant DNA technology using a mammalian cell expression system. This drug is available in a prefilled syringe form and convenient pen form for subcutaneous self-administered doses.[A39983]     Several biosimilars to adalimumab. Adalimumab-atto was the first adalimumab biosimilar approved by the FDA in 2016.[L44953] Adalimumab-adaz was approved by the FDA on October 31, 2018.[L4799] Other biosimilars include adalimumab-fkjp - which was approved in July 2022 -,[L42495] adalimumab-bwwd - which was approved in August 2022 -,[L42935] and adalimumab-aacf - which was approved in October 2023.[L49101] A biosimilar marketed as Hyrimoz, a high-concentration formulation of adalimumab, is also available.[L45643,L45818]","Denosumab, Etanercept, Peginterferon alfa-2a, Interferon alfa-n1, Interferon alfa-n3, Peginterferon alfa-2b","After treatment with adalimumab, a decrease in levels of acute phase reactant proteins of inflammation (C­ reactive protein [CRP] and erythrocyte sedimentation rate [ESR]) and serum cytokines (IL-6) was measured compared to baseline in patients diagnosed with rheumatoid arthritis. A decrease in CRP levels was also observed in patients diagnosed with Crohn’s disease. Serum levels of matrix metalloproteinases (MMP-1 and MMP-3) that lead to the tissue remodeling responsible for cartilage destruction were also found to be decreased after administration of adalimumab.[L35370] A reduction in signs and symptoms of disease, the induction of clinical response, inhibition of structural damage, and improvements in physical function in adult and pediatric patients with various inflammatory conditions have been demonstrated.[A39983, A39999, L35370]","Adalimumab binds with specificity to tumor necrosis factor-alpha (TNF-alpha) and inhibits its interaction with the p55 and p75 cell surface TNF receptors. Adalimumab also lyses surface tumor necrosis factor expressing cells in vitro when in the presence of complement.[A39984,A39999] Adalimumab does not bind or inactivate lymphotoxin (Tumor necrosis factor-beta). TNF is a naturally occurring cytokine that plays a role in normal inflammatory and immune responses.[A39999] Increased levels of TNF are found in the joint synovial fluid of rheumatoid arthritis, psoriatic arthritis, and ankylosing spondylitis patients, and play an imperative role in pathologic inflammation and joint destruction that are major complications of these diseases. Increased levels of TNF are also measured in psoriasis plaques. In plaque psoriasis, treatment with adalimumab may decrease the epidermal thickness and inflammatory cell infiltration. The relationship between these pharmacodynamics and the mechanism(s) by which adalimumab achieves its clinical effects is not known. Additionally, adalimumab alters biological responses that are induced/regulated by TNF, including changes in the levels of adhesion molecules responsible for leukocyte migration during inflammation (ELAM-1, VCAM-1, and ICAM-1 with an IC50 of 1-2 X 10-10M).[L35370]",,
